DATE,Number of Vehicles,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
1/1/2016,585,0,0,0,0,0,1
1/2/2016,808,0,0,0,0,0,0
1/3/2016,1053,1,0,0,0,0,0
1/4/2016,2364,0,1,0,0,0,0
1/5/2016,2558,0,0,1,0,0,0
1/6/2016,2660,0,0,0,1,0,0
1/7/2016,2598,0,0,0,0,1,0
1/8/2016,2878,0,0,0,0,0,1
1/9/2016,1999,0,0,0,0,0,0
1/10/2016,2018,1,0,0,0,0,0
1/11/2016,2595,0,1,0,0,0,0
1/12/2016,2609,0,0,1,0,0,0
1/13/2016,2272,0,0,0,1,0,0
1/14/2016,1729,0,0,0,0,1,0
1/15/2016,1662,0,0,0,0,0,1
1/16/2016,1174,0,0,0,0,0,0
1/31/2016,1424,1,0,0,0,0,0
2/1/2016,3211,0,1,0,0,0,0
2/2/2016,3173,0,0,1,0,0,0
2/3/2016,3166,0,0,0,1,0,0
2/4/2016,3206,0,0,0,0,1,0
2/5/2016,2306,0,0,0,0,0,1
2/6/2016,959,0,0,0,0,0,0
2/7/2016,1351,1,0,0,0,0,0
2/8/2016,3509,0,1,0,0,0,0
2/9/2016,3405,0,0,1,0,0,0
2/10/2016,3430,0,0,0,1,0,0
2/11/2016,3275,0,0,0,0,1,0
2/12/2016,2387,0,0,0,0,0,1
2/13/2016,1131,0,0,0,0,0,0
2/14/2016,1335,1,0,0,0,0,0
2/15/2016,3471,0,1,0,0,0,0
2/16/2016,3406,0,0,1,0,0,0
2/17/2016,2785,0,0,0,1,0,0
2/18/2016,3287,0,0,0,0,1,0
2/19/2016,2523,0,0,0,0,0,1
2/20/2016,1341,0,0,0,0,0,0
2/21/2016,1559,1,0,0,0,0,0
2/22/2016,3386,0,1,0,0,0,0
2/23/2016,3282,0,0,1,0,0,0
2/24/2016,3380,0,0,0,1,0,0
2/25/2016,3302,0,0,0,0,1,0
2/26/2016,2619,0,0,0,0,0,1
2/27/2016,1353,0,0,0,0,0,0
2/28/2016,1646,1,0,0,0,0,0
2/29/2016,3389,0,1,0,0,0,0
3/1/2016,3488,0,0,1,0,0,0
3/2/2016,3485,0,0,0,1,0,0
3/3/2016,3135,0,0,0,0,1,0
3/4/2016,2561,0,0,0,0,0,1
3/5/2016,1456,0,0,0,0,0,0
3/6/2016,1675,1,0,0,0,0,0
3/7/2016,3450,0,1,0,0,0,0
3/8/2016,3459,0,0,1,0,0,0
3/9/2016,3342,0,0,0,1,0,0
3/10/2016,3342,0,0,0,0,1,0
3/11/2016,2493,0,0,0,0,0,1
3/12/2016,1356,0,0,0,0,0,0
3/13/2016,1398,1,0,0,0,0,0
3/14/2016,3205,0,1,0,0,0,0
3/15/2016,3174,0,0,1,0,0,0
3/16/2016,3226,0,0,0,1,0,0
3/17/2016,3145,0,0,0,0,1,0
3/18/2016,2491,0,0,0,0,0,1
3/19/2016,1452,0,0,0,0,0,0
3/20/2016,1269,1,0,0,0,0,0
3/21/2016,3143,0,1,0,0,0,0
3/22/2016,3194,0,0,1,0,0,0
3/23/2016,3234,0,0,0,1,0,0
3/24/2016,1948,0,0,0,0,1,0
3/25/2016,2669,0,0,0,0,0,1
3/26/2016,1750,0,0,0,0,0,0
3/27/2016,1497,1,0,0,0,0,0
3/28/2016,3409,0,1,0,0,0,0
3/29/2016,3284,0,0,1,0,0,0
3/30/2016,3450,0,0,0,1,0,0
3/31/2016,3282,0,0,0,0,1,0
